Name,Cluster,Min Age,Rating Average,Users Rated,Complexity Average,Play Time,Min Players,Max Players,Custom Rating
shards of infinity,401,10,7.52,2431,2.0,30,2,4,18281.12
dale of merchants,55,10,7.22,3804,2.09,30,2,4,27464.879999999997
tammany hall,252,12,7.26,3391,2.78,90,3,5,24618.66
flick 'em up!,471,7,6.95,7703,1.33,45,2,10,53535.85
wasteland express delivery service,601,13,7.43,2710,2.91,120,2,5,20135.3
dream factory,259,10,7.05,5080,2.11,60,2,5,35814.0
attika,141,10,7.0,6331,2.37,60,2,4,44317.0
railroad ink: blazing red edition,358,8,7.19,3782,1.44,30,1,6,27192.58
cloudspire,919,13,8.22,1411,4.18,180,1,4,11598.42
ticket to ride: rails & sails,22,10,7.41,2967,2.56,120,2,5,21985.47
